"Type","TypeDesc","ErrorCode","Filename","LineNumber","DateTime","ComputerName","UserName","Message"
1,"MsgWnd",0,"",0,10/15/2023 20:18:33,"DESKTOP-7EKA85J","lukas","STK EOIR is licensed, but a valid install was not found.  Install EOIR."
3,"Default",0,"AgStkInitObj.cpp",1836,10/15/2023 20:18:33,"DESKTOP-7EKA85J","lukas","STK Space Environment and Effects Tool is licensed, but a valid install was not found.  Install or Update STK SEET to match the STK version 12.7.1."
2,"Default",0,"AgApRmtMsg.cpp",1362,10/15/2023 20:18:33,"DESKTOP-7EKA85J","lukas","STK/CON: Initializing STK/CON module."
4,"MsgWnd",14008,"AgApRmtMsg.cpp",4405,10/15/2023 20:18:33,"DESKTOP-7EKA85J","lukas","STK/CON: Error binding to socket, Port 5001 address in use"
3,"Default",0,"AgSTKCommRdrComponentManipulator.cpp",888,10/15/2023 20:19:01,"DESKTOP-7EKA85J","lukas","STK TIREM license present; but a valid TIREM install was not found. Install STK/TIREM."
3,"Default",0,"AgSTKCommRdrComponentManipulator.cpp",981,10/15/2023 20:19:01,"DESKTOP-7EKA85J","lukas","STK Communications License for Urban Propagation Extension present; but a valid install was not found.  Install Urban Propagation Extension."
4,"Default",0,"AgGxGltfMetadataLoader.cpp",888,10/15/2023 20:41:56,"DESKTOP-7EKA85J","lukas","Error reading gmdf (glTF metadata) file: C:/Users/lukas/Documents/Personal/Projects/CubeSat/Blender Model/Model5 glTF/model5.gmdf - The model file does not contain a node named: PanelBacks."
4,"Default",-1,"AgApRmtMsgMacro.cpp",428,10/15/2023 20:44:54,"DESKTOP-7EKA85J","lukas","Error encountered opening C:\Users\lukas\Documents\STK 12\Config\Defaults\ConnectMacros.txt file"
4,"Default",-1,"AgApRmtMsgMacro.cpp",428,10/15/2023 20:45:01,"DESKTOP-7EKA85J","lukas","Error encountered opening C:\Users\lukas\Documents\STK 12\Config\Defaults\ConnectMacros.txt file"
4,"Default",0,"AgGxGltfMetadataLoader.cpp",888,10/15/2023 20:48:14,"DESKTOP-7EKA85J","lukas","Error reading gmdf (glTF metadata) file: C:/Users/lukas/Documents/Personal/Projects/CubeSat/Blender Model/Model5 glTF/model5.gmdf - The model file does not contain a node named: PanelBacks."
4,"Default",0,"AgGxGltfMetadataLoader.cpp",888,10/15/2023 21:03:14,"DESKTOP-7EKA85J","lukas","Error reading gmdf (glTF metadata) file: C:/Users/lukas/Documents/Personal/Projects/CubeSat/Blender Model/Model5 glTF/model5.gmdf - The model file does not contain a node named: PanelBacks."
